job_title,company,location,salary_aud,job_type,experience_years,skills_required,remote_option,date_posted
Software Engineer,Woodside,Fremantle,121000,Contract,4,"Power BI, Excel, Git, Deep Learning, Azure, pandas, Tableau",No,2026-02-10
Software Engineer,RAC WA,West Perth,135000,Full-time,7,"Spark, NumPy, Node.js, FastAPI, JavaScript, Azure, Python",Yes,2026-03-09
Junior Data Analyst,Accenture,Remote,59000,Casual,0,"Git, Tableau, pandas, NumPy, Node.js, Deep Learning, Spark, scikit-learn",No,2026-01-14
Junior Data Analyst,Accenture,Joondalup,69000,Casual,2,"SQL, Python, scikit-learn, Docker, Tableau",Hybrid,2026-04-20
Data Engineer,RAC WA,Perth CBD,81000,Contract,3,"Excel, Communication, Spark",Hybrid,2026-05-22
Data Scientist,BHP,Bentley,108000,Part-time,8,"SQL, NumPy, TensorFlow, Communication",Hybrid,2026-03-05
Business Intelligence Analyst,Telstra,Fremantle,87000,Part-time,6,"Docker, Git, Communication, Data Visualisation, MongoDB",Yes,2026-04-16
Data Analyst,ANZ Bank,Subiaco,92000,Casual,4,"Agile, scikit-learn, FastAPI, MongoDB, Data Visualisation, R, Hadoop, NLP",Yes,2026-05-01
Junior Data Scientist,Commonwealth Bank,Midland,62000,Contract,0,"TensorFlow, NumPy, Statistics, FastAPI, NLP, Data Visualisation",No,2026-01-18
Graduate Data Analyst,IBM,Perth CBD,64000,Full-time,2,"JavaScript, Azure, PyTorch, R, Statistics",No,2026-02-15
Junior ML Engineer,IBM,Midland,64000,Internship,1,"Power BI, Node.js, MongoDB",Hybrid,2026-01-30
Python Developer,RAC WA,Fremantle,139000,Contract,8,"Deep Learning, pandas, SQL, Spark, MongoDB, Python, Azure",No,2026-01-18
Business Intelligence Analyst,Murdoch University,Bentley,102000,Casual,4,"scikit-learn, R, Data Visualisation, Power BI, Hadoop, NumPy, Azure",Hybrid,2026-03-17
Data Engineer,Water Corporation,Hybrid - Perth,88000,Contract,3,"MongoDB, R, PyTorch, Hadoop",No,2026-05-21
Full Stack Developer,IBM,Osborne Park,80000,Casual,6,"NumPy, Deep Learning, MongoDB, FastAPI, REST APIs",No,2026-02-24
Data Engineer,Woodside,Fremantle,111000,Contract,4,"Machine Learning, R, Excel, NumPy, Azure, Communication, JavaScript, Node.js",Yes,2026-02-20
Data Scientist,Woodside,Osborne Park,82000,Casual,8,"NLP, AWS, Node.js",Hybrid,2026-05-28
Junior Data Scientist,Murdoch University,Fremantle,68000,Part-time,0,"PyTorch, NLP, Tableau, JavaScript, Spark, Python",Hybrid,2026-05-13
Software Engineer,RAC WA,Hybrid - Perth,83000,Contract,6,"NLP, Data Visualisation, Power BI, MySQL, Tableau, Statistics, R",No,2026-05-10
Python Developer,Deloitte,West Perth,134000,Internship,8,"MySQL, Communication, Machine Learning, Hadoop, AWS, Agile, pandas",No,2026-03-03
Machine Learning Engineer,IBM,Bentley,109000,Internship,4,"Spark, NumPy, NLP",Yes,2026-02-05
Data Scientist,IBM,Remote,95000,Casual,5,"Spark, Tableau, Agile, Deep Learning, Excel, MongoDB",No,2026-01-16
Junior Data Scientist,UWA,Osborne Park,69000,Full-time,2,"Communication, Docker, REST APIs, Spark, Python, Agile",No,2026-03-18
Graduate Data Analyst,GovTech WA,Fremantle,68000,Contract,0,"Git, Hadoop, Communication, Agile, FastAPI, Node.js",No,2026-05-05
Data Analyst,Small Tech Startup,Joondalup,105000,Internship,8,"R, FastAPI, PyTorch, Hadoop, Machine Learning",Hybrid,2026-01-07
API Developer,Small Tech Startup,Joondalup,106000,Full-time,8,"REST APIs, R, Python, Excel, JavaScript, MongoDB, Tableau",No,2026-04-08
Backend Developer,Murdoch University,West Perth,94000,Full-time,8,"scikit-learn, Agile, Docker, PyTorch, pandas, Data Visualisation",No,2026-01-05
AI Engineer,BHP,Perth CBD,115000,Part-time,2,"TensorFlow, NLP, JavaScript",Yes,2026-01-06
Junior ML Engineer,Commonwealth Bank,Osborne Park,60000,Contract,2,"Tableau, AWS, R, Power BI",No,2026-02-12
Junior ML Engineer,KPMG,Hybrid - Perth,75000,Casual,0,"Spark, Power BI, Docker, Statistics, Machine Learning, NumPy, Communication, REST APIs",No,2026-02-20
Junior Data Analyst,Wesfarmers,Hybrid - Perth,74000,Full-time,2,"Statistics, JavaScript, NLP, Power BI, Spark, Docker, NumPy, R",No,2026-05-17
Python Developer,Murdoch University,Osborne Park,123000,Full-time,8,"Excel, Azure, JavaScript, scikit-learn, Python",No,2026-04-03
Business Intelligence Analyst,Accenture,Hybrid - Perth,138000,Internship,7,"Spark, Tableau, MongoDB, Machine Learning, Hadoop, Azure",No,2026-04-30
Python Developer,Small Tech Startup,Hybrid - Perth,134000,Internship,8,"REST APIs, pandas, scikit-learn, NLP, Excel, Communication, MySQL, Statistics",Hybrid,2026-04-08
Backend Developer,Accenture,Bentley,82000,Contract,8,"Data Visualisation, scikit-learn, Machine Learning, AWS, Deep Learning, TensorFlow",Hybrid,2026-03-12
Data Engineer,Deloitte,Osborne Park,81000,Casual,8,"Deep Learning, Excel, NLP, Hadoop, MongoDB, AWS, Git",No,2026-01-05
Junior Data Analyst,HBF,Bentley,65000,Casual,2,"PyTorch, Spark, NLP, NumPy",Hybrid,2026-05-16
Backend Developer,Wesfarmers,Fremantle,108000,Contract,3,"Git, scikit-learn, TensorFlow, Spark, MySQL, pandas, NumPy, Docker",Yes,2026-05-18
Graduate Data Analyst,HBF,Remote,61000,Internship,2,"Deep Learning, Hadoop, AWS, pandas",No,2026-01-26
Full Stack Developer,RAC WA,Joondalup,93000,Contract,7,"NLP, TensorFlow, Machine Learning, NumPy, Python",Yes,2026-01-14
Data Engineer,GovTech WA,Osborne Park,99000,Casual,4,"Tableau, JavaScript, Data Visualisation, Docker, AWS, Power BI, Python, REST APIs",No,2026-02-17
Data Analyst,BHP,Joondalup,97000,Part-time,6,"Power BI, Statistics, Excel, PyTorch, AWS, Data Visualisation",Hybrid,2026-03-19
Junior Data Analyst,Water Corporation,Hybrid - Perth,63000,Part-time,2,"Git, Docker, MongoDB",Hybrid,2026-04-08
Software Engineer,BHP,Hybrid - Perth,140000,Full-time,6,"NumPy, Data Visualisation, REST APIs, MongoDB, Agile, Communication",Yes,2026-02-24
Machine Learning Engineer,ANZ Bank,Perth CBD,123000,Casual,2,"Machine Learning, NLP, Git",No,2026-05-01
Machine Learning Engineer,Deloitte,West Perth,82000,Internship,2,"NumPy, Spark, Data Visualisation, MySQL",Hybrid,2026-02-20
Python Developer,KPMG,Hybrid - Perth,88000,Internship,3,"NLP, JavaScript, Tableau, pandas, Data Visualisation, Excel, SQL",No,2026-04-23
Junior Data Analyst,Water Corporation,Perth CBD,70000,Casual,0,"NumPy, Spark, PyTorch, pandas, Azure, Git, AWS, MySQL",Hybrid,2026-03-24
Junior ML Engineer,HBF,Perth CBD,63000,Contract,2,"Excel, NLP, R",Hybrid,2026-01-11
Graduate Data Analyst,GovTech WA,Subiaco,61000,Casual,1,"Azure, JavaScript, MySQL, pandas, Machine Learning, REST APIs",No,2026-04-15
Backend Developer,UWA,Remote,101000,Full-time,7,"Power BI, Data Visualisation, Machine Learning, scikit-learn, MongoDB, Spark, AWS, NumPy",No,2026-01-23
Backend Developer,Rio Tinto,Remote,97000,Casual,8,"Power BI, Docker, PyTorch, Data Visualisation, Azure",No,2026-01-14
Junior Data Scientist,Commonwealth Bank,West Perth,72000,Internship,0,"Node.js, Docker, AWS, JavaScript, MySQL",Yes,2026-03-15
Software Engineer,RAC WA,Perth CBD,138000,Internship,4,"AWS, Power BI, Python, JavaScript, Node.js, NLP, Spark, Machine Learning",No,2026-01-24
Junior Data Scientist,Fortescue,West Perth,59000,Casual,1,"Power BI, JavaScript, Statistics, Tableau, AWS, Spark",No,2026-05-01
Junior Data Scientist,Accenture,Midland,70000,Contract,0,"Tableau, PyTorch, Deep Learning, Node.js, Azure, Hadoop, Agile",Hybrid,2026-03-10
Full Stack Developer,Telstra,Osborne Park,80000,Internship,5,"Hadoop, NumPy, Statistics, REST APIs, R",No,2026-03-30
Backend Developer,Deloitte,Midland,116000,Full-time,5,"PyTorch, MySQL, scikit-learn, Deep Learning, Spark, NLP, REST APIs",No,2026-05-02
AI Engineer,BHP,Joondalup,140000,Internship,5,"PyTorch, R, FastAPI, Statistics, JavaScript, Tableau",Hybrid,2026-03-26
Full Stack Developer,Telstra,Subiaco,87000,Casual,5,"Power BI, Azure, MySQL, Python, Hadoop, Tableau",No,2026-03-28
Junior ML Engineer,GovTech WA,Remote,68000,Full-time,2,"Excel, Data Visualisation, scikit-learn, R, Git, PyTorch, Communication, JavaScript",Hybrid,2026-01-18
Junior Data Scientist,Wesfarmers,Osborne Park,64000,Part-time,2,"Hadoop, Excel, MongoDB, Power BI",Hybrid,2026-03-18
API Developer,Curtin University,Bentley,82000,Casual,4,"scikit-learn, FastAPI, SQL",Yes,2026-03-04
Data Engineer,UWA,Hybrid - Perth,107000,Part-time,8,"R, FastAPI, Machine Learning, Data Visualisation, Statistics, Excel, Node.js",No,2026-05-30
Data Scientist,Small Tech Startup,West Perth,95000,Internship,8,"JavaScript, pandas, MySQL, Communication, R, Python",Yes,2026-01-19
Software Engineer,UWA,Osborne Park,103000,Full-time,3,"NumPy, JavaScript, MongoDB, Spark, pandas, MySQL, Agile",Yes,2026-04-08
Junior ML Engineer,HBF,Perth CBD,67000,Internship,0,"NumPy, Spark, Agile, Python, R, PyTorch, pandas",Hybrid,2026-05-08
Full Stack Developer,Commonwealth Bank,Hybrid - Perth,139000,Contract,3,"Docker, FastAPI, NLP, Node.js, TensorFlow",Hybrid,2026-02-05
Business Intelligence Analyst,Telstra,Subiaco,86000,Contract,7,"JavaScript, SQL, NumPy, FastAPI, MySQL, Communication, REST APIs, TensorFlow",No,2026-04-17
Data Scientist,Fortescue,West Perth,93000,Part-time,6,"FastAPI, Git, Communication, TensorFlow",No,2026-05-04
Graduate Data Analyst,UWA,Remote,65000,Contract,2,"Data Visualisation, scikit-learn, FastAPI, Power BI, MySQL, Excel, Tableau, NLP",Yes,2026-04-12
Data Analyst,UWA,Bentley,97000,Full-time,6,"Power BI, MySQL, TensorFlow, R, Hadoop, Statistics, pandas",Hybrid,2026-03-01
Software Engineer,Small Tech Startup,West Perth,82000,Casual,7,"Communication, Git, scikit-learn, Node.js, NLP, JavaScript, Excel",Yes,2026-02-05
Data Analyst,UWA,Osborne Park,82000,Contract,3,"AWS, Power BI, NLP, Communication, Git",Hybrid,2026-05-19
Python Developer,BHP,Bentley,118000,Part-time,4,"Hadoop, Tableau, MongoDB, JavaScript, Power BI, AWS, Node.js, Data Visualisation",No,2026-04-24
Junior Data Scientist,Curtin University,Perth CBD,67000,Casual,2,"R, TensorFlow, Git",No,2026-02-18
Junior Data Analyst,Water Corporation,Perth CBD,70000,Full-time,2,"R, Deep Learning, JavaScript",No,2026-03-04
Data Scientist,Deloitte,Bentley,132000,Part-time,3,"Deep Learning, Excel, Statistics, Docker, Git, Agile, REST APIs",Hybrid,2026-01-01
Machine Learning Engineer,Wesfarmers,Perth CBD,136000,Part-time,3,"Tableau, Git, pandas, FastAPI",Yes,2026-04-02
Graduate Data Analyst,Fortescue,Subiaco,63000,Full-time,1,"scikit-learn, Python, Machine Learning, pandas, SQL, Tableau, Hadoop",No,2026-04-25
Graduate Data Analyst,Fortescue,West Perth,67000,Casual,2,"REST APIs, Power BI, MySQL, Azure, NLP, Node.js, SQL",Hybrid,2026-01-08
Data Analyst,Woodside,Bentley,111000,Internship,2,"MongoDB, R, Power BI, AWS, Spark, MySQL",Yes,2026-01-17
Data Scientist,KPMG,Osborne Park,98000,Internship,6,"JavaScript, REST APIs, Git, Spark, scikit-learn, PyTorch, Node.js",Hybrid,2026-04-21
Junior Data Analyst,Murdoch University,Bentley,59000,Casual,0,"JavaScript, Communication, Docker, Git, Hadoop, Deep Learning, MongoDB, MySQL",No,2026-04-17
AI Engineer,GovTech WA,Subiaco,86000,Full-time,3,"MongoDB, scikit-learn, R, pandas, TensorFlow",Yes,2026-01-24
Python Developer,IBM,Subiaco,86000,Casual,6,"Hadoop, TensorFlow, FastAPI, Tableau, Git, SQL, REST APIs, Data Visualisation",No,2026-04-19
Full Stack Developer,HBF,Remote,127000,Part-time,2,"NumPy, Node.js, TensorFlow",Yes,2026-05-04
Junior Data Scientist,HBF,Fremantle,59000,Casual,1,"Data Visualisation, Git, TensorFlow, Power BI, Docker",Hybrid,2026-05-23
Data Analyst,Curtin University,Perth CBD,120000,Part-time,4,"Statistics, Spark, pandas, Python, Machine Learning, Data Visualisation, Communication, NumPy",Yes,2026-05-25
Business Intelligence Analyst,Woodside,Remote,106000,Part-time,2,"Tableau, Hadoop, JavaScript",No,2026-04-18
Software Engineer,HBF,Hybrid - Perth,102000,Full-time,8,"TensorFlow, NumPy, Hadoop, scikit-learn",Yes,2026-02-09
Data Scientist,Water Corporation,Osborne Park,129000,Casual,5,"SQL, R, Excel, pandas, MySQL, Communication, MongoDB",No,2026-02-25
Graduate Data Analyst,HBF,Osborne Park,72000,Internship,1,"TensorFlow, MongoDB, Power BI",Hybrid,2026-03-20
Data Analyst,Telstra,West Perth,94000,Contract,8,"Node.js, SQL, Python, Deep Learning, NumPy, Statistics",No,2026-01-31
Data Analyst,Curtin University,Subiaco,113000,Casual,6,"MongoDB, Machine Learning, Tableau, PyTorch, Git, Spark, NLP, Azure",Hybrid,2026-01-11
Python Developer,UWA,Midland,81000,Contract,6,"Agile, Excel, Data Visualisation, scikit-learn, REST APIs, MongoDB",Yes,2026-04-14
Data Analyst,Curtin University,Subiaco,101000,Casual,7,"FastAPI, Node.js, MySQL, Statistics",Yes,2026-03-04
Python Developer,IBM,Joondalup,119000,Full-time,3,"Azure, Excel, PyTorch, NumPy, Hadoop, scikit-learn",Hybrid,2026-01-30
Data Engineer,Telstra,Fremantle,113000,Full-time,8,"Communication, Docker, TensorFlow, Hadoop",Yes,2026-03-07
Junior Data Scientist,Small Tech Startup,Hybrid - Perth,61000,Internship,1,"Tableau, Docker, Communication, JavaScript, Excel, Machine Learning, Statistics",No,2026-05-25
Business Intelligence Analyst,Small Tech Startup,West Perth,122000,Contract,5,"scikit-learn, Data Visualisation, JavaScript, Agile, Tableau, MySQL, Excel",Hybrid,2026-01-15
Backend Developer,Curtin University,West Perth,113000,Full-time,2,"NumPy, MySQL, SQL",Hybrid,2026-01-24
Junior ML Engineer,HBF,Fremantle,74000,Contract,1,"PyTorch, MySQL, REST APIs, Git, FastAPI, Hadoop, SQL",Hybrid,2026-05-02
Data Engineer,IBM,Subiaco,90000,Internship,8,"MySQL, Power BI, FastAPI",Hybrid,2026-02-14
Data Analyst,UWA,Midland,96000,Contract,4,"MySQL, Agile, Azure, Data Visualisation, Node.js, Machine Learning, TensorFlow, Hadoop",Hybrid,2026-01-14
Graduate Data Analyst,UWA,West Perth,66000,Contract,2,"scikit-learn, Power BI, Git",Hybrid,2026-02-08
Backend Developer,Telstra,Hybrid - Perth,85000,Full-time,5,"R, Tableau, TensorFlow, NumPy, JavaScript, Spark, Agile",No,2026-05-24
Python Developer,Fortescue,Subiaco,122000,Casual,7,"Statistics, Tableau, R, Spark, Hadoop",Hybrid,2026-04-03
Data Analyst,Deloitte,Joondalup,104000,Part-time,3,"Machine Learning, Deep Learning, scikit-learn, Docker, AWS",Yes,2026-03-17
Full Stack Developer,Fortescue,Perth CBD,132000,Contract,8,"Azure, Docker, Git",Hybrid,2026-02-03
Junior ML Engineer,ANZ Bank,Osborne Park,67000,Full-time,2,"Machine Learning, Statistics, Spark, Docker",No,2026-04-04
Business Intelligence Analyst,Small Tech Startup,Fremantle,127000,Internship,7,"MySQL, Node.js, NumPy, Docker",Yes,2026-03-21
Graduate Data Analyst,KPMG,Midland,70000,Internship,1,"TensorFlow, R, REST APIs, MySQL",Hybrid,2026-04-18
Data Scientist,BHP,Osborne Park,134000,Contract,4,"FastAPI, Node.js, Tableau, Data Visualisation",Hybrid,2026-01-27
AI Engineer,Fortescue,Joondalup,135000,Casual,5,"Data Visualisation, Power BI, NumPy, Excel, Docker, Machine Learning, pandas",Yes,2026-02-26
Full Stack Developer,Curtin University,Fremantle,110000,Casual,6,"Agile, Python, MongoDB, SQL, PyTorch",Yes,2026-04-06
Junior Data Scientist,Telstra,Joondalup,56000,Full-time,1,"Agile, Power BI, Statistics, Spark, JavaScript",No,2026-05-01
AI Engineer,Rio Tinto,Subiaco,134000,Full-time,6,"Docker, Spark, AWS, MySQL",No,2026-02-25
Full Stack Developer,KPMG,Subiaco,90000,Full-time,3,"Hadoop, Node.js, Azure, MongoDB, Power BI, Docker, NumPy",Yes,2026-04-18
Business Intelligence Analyst,Fortescue,Hybrid - Perth,132000,Part-time,2,"MySQL, Excel, Power BI, Statistics, AWS, Node.js, Git",Hybrid,2026-02-06
Machine Learning Engineer,Murdoch University,Joondalup,108000,Full-time,6,"Node.js, TensorFlow, NLP",Hybrid,2026-04-03
Junior Data Analyst,UWA,Bentley,72000,Contract,0,"Azure, FastAPI, Agile, Git, Python, PyTorch, AWS",Hybrid,2026-01-05
Backend Developer,Wesfarmers,Hybrid - Perth,132000,Contract,7,"TensorFlow, NLP, Hadoop",Yes,2026-01-12
Backend Developer,GovTech WA,Joondalup,116000,Part-time,5,"Statistics, JavaScript, Machine Learning, Docker, R",Yes,2026-04-28
Data Analyst,IBM,West Perth,99000,Internship,2,"SQL, FastAPI, Deep Learning, Communication",No,2026-05-20
Software Engineer,Curtin University,Perth CBD,97000,Contract,4,"Docker, JavaScript, Deep Learning",No,2026-02-01
Graduate Data Analyst,GovTech WA,Osborne Park,67000,Contract,0,"Communication, PyTorch, Hadoop, MySQL, Agile, scikit-learn",Hybrid,2026-03-10
Graduate Data Analyst,Woodside,Bentley,58000,Contract,0,"MongoDB, Excel, Agile, Node.js, Machine Learning, Git, NumPy, scikit-learn",No,2026-04-25
Junior ML Engineer,Curtin University,Hybrid - Perth,69000,Casual,2,"Spark, MySQL, TensorFlow, SQL",No,2026-01-15
Junior Data Analyst,Telstra,Hybrid - Perth,68000,Casual,0,"Azure, FastAPI, Hadoop, R, Machine Learning",Yes,2026-02-02
Junior Data Analyst,Curtin University,Bentley,63000,Casual,1,"TensorFlow, Agile, PyTorch, REST APIs, SQL, Node.js, Tableau, R",Yes,2026-05-27
Data Scientist,Rio Tinto,Joondalup,115000,Casual,2,"PyTorch, scikit-learn, JavaScript, pandas, NLP",Hybrid,2026-04-10
API Developer,Commonwealth Bank,Hybrid - Perth,117000,Contract,5,"pandas, Docker, Spark",Hybrid,2026-05-06
Junior Data Scientist,Small Tech Startup,Subiaco,59000,Contract,2,"Data Visualisation, Excel, MySQL, Machine Learning",Hybrid,2026-03-30
AI Engineer,ANZ Bank,Bentley,84000,Internship,7,"Git, NumPy, Communication, Machine Learning, Spark, FastAPI, Docker",Yes,2026-02-01
Junior Data Scientist,HBF,Bentley,60000,Casual,2,"FastAPI, AWS, Python, TensorFlow",Hybrid,2026-02-03
Junior ML Engineer,GovTech WA,Remote,58000,Casual,2,"NumPy, PyTorch, Spark",No,2026-05-28
Junior Data Analyst,Telstra,Remote,59000,Internship,1,"JavaScript, Excel, MySQL, R, Azure",Yes,2026-02-03
Python Developer,KPMG,Joondalup,113000,Part-time,3,"Statistics, Power BI, Azure",No,2026-02-27
Backend Developer,Accenture,Joondalup,114000,Contract,6,"Data Visualisation, Excel, pandas, Deep Learning, JavaScript",Hybrid,2026-05-17
Junior Data Analyst,HBF,Perth CBD,71000,Full-time,1,"Machine Learning, REST APIs, Communication, Tableau, Agile, R, Node.js, Hadoop",Yes,2026-01-12
Business Intelligence Analyst,Rio Tinto,Osborne Park,131000,Internship,7,"pandas, JavaScript, Deep Learning, Docker, REST APIs, MongoDB, Node.js",No,2026-03-19
Software Engineer,GovTech WA,Osborne Park,96000,Part-time,5,"PyTorch, NumPy, MySQL, Excel, Spark, SQL, Machine Learning, Data Visualisation",No,2026-02-06
Backend Developer,Wesfarmers,Bentley,136000,Part-time,6,"scikit-learn, Hadoop, Data Visualisation, TensorFlow, PyTorch, Tableau, Statistics, Azure",No,2026-02-01
Machine Learning Engineer,Water Corporation,Midland,109000,Part-time,5,"Tableau, Power BI, SQL, NumPy",Yes,2026-03-25
API Developer,GovTech WA,Perth CBD,118000,Full-time,4,"scikit-learn, Deep Learning, Docker, Machine Learning, AWS, Azure, MySQL, FastAPI",No,2026-05-10
Software Engineer,Water Corporation,Osborne Park,96000,Contract,5,"REST APIs, TensorFlow, SQL, NumPy",Hybrid,2026-01-03
Full Stack Developer,Curtin University,Perth CBD,87000,Casual,5,"Tableau, Communication, pandas, Hadoop, TensorFlow, Docker",Yes,2026-05-26
Data Engineer,RAC WA,West Perth,93000,Internship,5,"Git, NumPy, Excel, PyTorch, Azure",Hybrid,2026-01-31
Data Scientist,Commonwealth Bank,Hybrid - Perth,86000,Internship,3,"TensorFlow, FastAPI, scikit-learn, Git, Agile, Docker",No,2026-05-09
Data Analyst,GovTech WA,Remote,83000,Casual,8,"Tableau, Spark, scikit-learn",Yes,2026-05-12
Data Scientist,Fortescue,Remote,101000,Internship,4,"scikit-learn, Machine Learning, PyTorch, Node.js, Hadoop, NumPy, REST APIs",No,2026-05-25
Machine Learning Engineer,Murdoch University,Hybrid - Perth,111000,Contract,2,"TensorFlow, scikit-learn, R",Hybrid,2026-01-07
Junior ML Engineer,BHP,Hybrid - Perth,71000,Casual,2,"JavaScript, FastAPI, Docker, REST APIs, NLP",Yes,2026-05-15
Business Intelligence Analyst,Wesfarmers,Fremantle,127000,Full-time,6,"Docker, Statistics, PyTorch, Tableau, R, NLP, SQL",No,2026-03-22
Python Developer,BHP,Joondalup,90000,Internship,5,"Spark, Deep Learning, MongoDB, Azure, Docker, Node.js",Yes,2026-05-24
Backend Developer,RAC WA,Bentley,123000,Contract,4,"Azure, PyTorch, scikit-learn, Machine Learning, MySQL, Git",Hybrid,2026-05-04
Junior Data Scientist,GovTech WA,Bentley,63000,Casual,0,"Git, NumPy, NLP, Docker, Spark",No,2026-05-24
API Developer,Curtin University,Joondalup,132000,Contract,8,"pandas, NumPy, Power BI, REST APIs, R, Git, PyTorch, Hadoop",Yes,2026-03-15
AI Engineer,Commonwealth Bank,Fremantle,85000,Internship,5,"Agile, MySQL, JavaScript, pandas, Hadoop",No,2026-05-24
AI Engineer,Deloitte,Perth CBD,98000,Internship,3,"Power BI, Node.js, Hadoop, REST APIs",Yes,2026-03-01
Data Analyst,Rio Tinto,Remote,87000,Part-time,3,"scikit-learn, Spark, AWS, Power BI, R, Docker",No,2026-05-02
Software Engineer,Woodside,Hybrid - Perth,123000,Part-time,2,"Docker, NumPy, scikit-learn, JavaScript",Hybrid,2026-01-10
API Developer,KPMG,Perth CBD,91000,Full-time,3,"Communication, Statistics, Machine Learning, SQL, PyTorch, AWS",No,2026-05-26
Junior ML Engineer,Telstra,Remote,59000,Casual,1,"NumPy, MySQL, JavaScript, Git, Azure",No,2026-02-19
Graduate Data Analyst,ANZ Bank,Perth CBD,59000,Contract,2,"Machine Learning, Hadoop, MySQL, JavaScript, pandas",No,2026-05-26
Business Intelligence Analyst,Murdoch University,Remote,130000,Contract,5,"Machine Learning, Node.js, Data Visualisation, JavaScript",Yes,2026-04-13
Business Intelligence Analyst,Rio Tinto,West Perth,86000,Casual,3,"Tableau, AWS, scikit-learn, Agile",Yes,2026-04-25
Graduate Data Analyst,Curtin University,Fremantle,64000,Full-time,2,"NumPy, REST APIs, Hadoop, Python, pandas",Hybrid,2026-01-31
Software Engineer,KPMG,Subiaco,100000,Contract,7,"PyTorch, R, Azure, Agile",No,2026-02-26
Junior Data Scientist,RAC WA,Osborne Park,59000,Internship,2,"Tableau, MySQL, Hadoop, Node.js, TensorFlow, MongoDB",Hybrid,2026-02-25
Graduate Data Analyst,Curtin University,Subiaco,63000,Internship,2,"Docker, Node.js, Data Visualisation, FastAPI, Excel, Azure, MySQL, Agile",Yes,2026-01-16
